,object1,object2,
401,2.796829358,-305.9793396,305.9793396
402,3.024531497,-434.2544556,434.2544556
403,3.271749742,-539.4199829,539.4199829
404,3.037543014,-439.324646,439.324646
405,3.024531497,-434.2544556,434.2544556
406,2.84863326,-332.7548523,332.7548523
407,3.394767546,-581.3283691,581.3283691
408,3.044466068,-441.3389893,441.3389893
409,2.760710649,-296.3881836,296.3881836
410,2.909751364,-381.4268799,381.4268799
411,2.785000706,-302.3297729,302.3297729
412,2.796829358,-305.9793396,305.9793396
413,2.785000706,-302.3297729,302.3297729
414,3.394767546,-581.3283691,581.3283691
415,2.74304711,-275.8379211,275.8379211
416,2.903520616,-357.9526367,357.9526367
417,3.024531497,-434.2544556,434.2544556
418,2.785000706,-302.3297729,302.3297729
419,3.086004393,-454.6054993,454.6054993
420,3.329117462,-548.7907715,548.7907715
421,2.997673975,-425.4329834,425.4329834
422,2.707759075,-266.212677,266.212677
423,2.772539301,-299.4022827,299.4022827
424,3.649082964,-708.8427734,708.8427734
425,2.791231454,-303.796875,303.796875
426,3.597037089,-687.1246338,687.1246338
427,2.935224286,-389.6160583,389.6160583
428,3.250980683,-532.2318115,532.2318115
429,2.785000706,-302.3297729,302.3297729
430,2.922762882,-385.9810791,385.9810791
431,2.836804608,-328.4492798,328.4492798
432,3.329117462,-548.7907715,548.7907715
433,3.565456482,-655.326355,655.326355
434,2.890509099,-353.5916748,353.5916748
435,2.935224286,-389.6160583,389.6160583
436,2.935224286,-389.6160583,389.6160583
437,3.037543014,-439.324646,439.324646
438,3.520741395,-639.8676147,639.8676147
439,2.796829358,-305.9793396,305.9793396
440,3.635236959,-704.5783691,704.5783691
441,3.010685492,-430.3258057,430.3258057
442,3.024531497,-434.2544556,434.2544556
443,2.922212769,-385.0452576,385.0452576
444,3.037543014,-439.324646,439.324646
445,2.935224286,-389.6160583,389.6160583
446,2.754479901,-294.3362122,294.3362122
447,3.520741395,-639.8676147,639.8676147
448,2.922212769,-385.0452576,385.0452576
449,2.820486485,-313.3861694,313.3861694
450,3.662929072,-712.9984131,712.9984131
451,2.935224286,-389.6160583,389.6160583
452,3.329117462,-548.7907715,548.7907715
453,2.935224286,-389.6160583,389.6160583
454,3.329117462,-548.7907715,548.7907715
455,2.785000706,-302.3297729,302.3297729
456,2.84863326,-332.7548523,332.7548523
457,3.037543014,-439.324646,439.324646
458,2.785000706,-302.3297729,302.3297729
459,3.799306633,-736.1358643,736.1358643
460,2.666823443,-233.7924957,233.7924957
461,3.024531497,-434.2544556,434.2544556
462,2.935224286,-389.6160583,389.6160583
463,3.329117462,-548.7907715,548.7907715
464,2.948235803,-394.2416382,394.2416382
465,2.796829358,-305.9793396,305.9793396
466,3.649082964,-708.8427734,708.8427734
467,2.754479901,-294.3362122,294.3362122
468,2.903520616,-357.9526367,357.9526367
469,3.201684796,-501.4369202,501.4369202
470,3.460833648,-625.1889038,625.1889038
471,3.037543014,-439.324646,439.324646
472,2.84863326,-332.7548523,332.7548523
473,3.322253961,-547.4411011,547.4411011
474,3.571014055,-675.7629395,675.7629395
475,2.935224286,-389.6160583,389.6160583
476,2.731218458,-272.4880066,272.4880066
477,2.785000706,-302.3297729,302.3297729
478,2.947685783,-393.2844849,393.2844849
479,2.9606973,-397.9385376,397.9385376
480,3.610048607,-692.7156982,692.7156982
481,3.649082964,-708.8427734,708.8427734
482,3.430253326,-598.4420776,598.4420776
483,3.610048607,-692.7156982,692.7156982
484,3.610048607,-692.7156982,692.7156982
485,2.766941398,-297.2391968,297.2391968
486,3.553545097,-652.52771,652.52771
487,2.766941398,-297.2391968,297.2391968
488,2.719587727,-269.5423584,269.5423584
489,3.362830168,-580.7921143,580.7921143
490,3.329117462,-548.7907715,548.7907715
491,2.935774399,-390.5649719,390.5649719
492,3.610048607,-692.7156982,692.7156982
493,3.649082964,-708.8427734,708.8427734
494,3.820424069,-743.324585,743.324585
495,3.265661279,-535.963562,535.963562
496,3.394941769,-596.3808594,596.3808594
497,2.966378029,-399.1016846,399.1016846
498,3.610048607,-692.7156982,692.7156982
499,3.662929072,-712.9984131,712.9984131
