,object1,object2,1
232,2.634938447,-295.1734924,295.1734924
233,3.173140966,-450.7755432,450.7755432
234,3.127009452,-437.2668152,437.2668152
235,3.188518213,-455.9121094,455.9121094
236,3.203895461,-459.6242981,459.6242981
237,3.173140966,-450.7755432,450.7755432
238,3.002808783,-404.2714539,404.2714539
239,2.491812075,-245.756134,245.756134
240,3.199595078,-456.875061,456.875061
241,3.203895461,-459.6242981,459.6242981
242,3.127009452,-437.2668152,437.2668152
243,2.511920695,-276.789093,276.789093
244,2.759138975,-329.8887329,329.8887329
245,2.634938447,-295.1734924,295.1734924
246,2.825810486,-358.0897827,358.0897827
247,2.604183951,-290.2683716,290.2683716
248,3.002808783,-404.2714539,404.2714539
249,3.203895461,-459.6242981,459.6242981
250,3.203895461,-459.6242981,459.6242981
251,2.511920695,-276.789093,276.789093
252,3.203895461,-459.6242981,459.6242981
253,2.511920695,-276.789093,276.789093
254,3.250026974,-476.5918884,476.5918884
255,2.573429456,-285.5253601,285.5253601
256,3.234649956,-468.5371094,468.5371094
257,3.142386471,-441.8133545,441.8133545
258,3.471222343,-525.949585,525.949585
259,3.404982139,-505.2853088,505.2853088
260,3.203895461,-459.6242981,459.6242981
261,2.511920695,-276.789093,276.789093
262,3.203895461,-459.6242981,459.6242981
263,3.203895461,-459.6242981,459.6242981
264,3.173140966,-450.7755432,450.7755432
265,3.265404222,-477.5820618,477.5820618
266,2.511920695,-276.789093,276.789093
267,3.355301801,-491.9049683,491.9049683
268,2.588806704,-287.8774414,287.8774414
269,3.487782456,-530.3880005,530.3880005
270,3.438102364,-514.0779419,514.0779419
271,2.9176427,-373.6221924,373.6221924
272,3.487782456,-530.3880005,530.3880005
273,3.219272708,-464.021637,464.021637
274,3.438102364,-514.0779419,514.0779419
275,2.54267519,-281.1047058,281.1047058
276,3.127009452,-437.2668152,437.2668152
277,3.203895461,-459.6242981,459.6242981
278,2.54267519,-281.1047058,281.1047058
279,3.173140966,-450.7755432,450.7755432
280,3.219272708,-464.021637,464.021637
281,2.931837082,-384.1412964,384.1412964
282,3.173140966,-450.7755432,450.7755432
283,3.265404222,-477.5820618,477.5820618
284,3.203895461,-459.6242981,459.6242981
285,3.203895461,-459.6242981,459.6242981
286,2.659778545,-316.181488,316.181488
287,2.588806704,-287.8774414,287.8774414
288,2.604183951,-290.2683716,290.2683716
289,3.219272708,-464.021637,464.021637
290,2.511920695,-276.789093,276.789093
291,3.203895461,-459.6242981,459.6242981
292,2.511920695,-276.789093,276.789093
293,2.650315694,-297.681488,297.681488
294,3.487782456,-530.3880005,530.3880005
295,3.234649956,-468.5371094,468.5371094
296,3.173140966,-450.7755432,450.7755432
297,3.265404222,-477.5820618,477.5820618
298,2.931837082,-384.1412964,384.1412964
299,3.017003165,-411.4615173,411.4615173
300,2.54267519,-281.1047058,281.1047058
301,2.659778545,-316.181488,316.181488
302,2.634938447,-295.1734924,295.1734924
303,3.265404222,-477.5820618,477.5820618
304,2.511920695,-276.789093,276.789093
305,2.364062845,-229.5401917,229.5401917
306,2.431917028,-244.8558807,244.8558807
307,3.173140966,-450.7755432,450.7755432
308,2.511920695,-276.789093,276.789093
309,3.173140966,-450.7755432,450.7755432
310,2.511920695,-276.789093,276.789093
311,3.173140966,-450.7755432,450.7755432
312,2.080175797,-158.8082581,158.8082581
313,3.138086317,-437.8034058,437.8034058
314,3.203895461,-459.6242981,459.6242981
315,2.960225636,-392.3143311,392.3143311
316,2.511920695,-276.789093,276.789093
317,3.203895461,-459.6242981,459.6242981
318,2.511920695,-276.789093,276.789093
319,3.127009452,-437.2668152,437.2668152
320,3.127009452,-437.2668152,437.2668152
321,3.203895461,-459.6242981,459.6242981
322,3.45466223,-518.375,518.375
